Smiles,Activity
COc1cc(/C=C/C(=O)NCCc2c[nH]c3ccc(O)cc23)ccc1O,0
C=CCNC(=S)N/N=C/c1ccc(OC)c(OCc2ccccc2F)c1,0
O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)OCc1cc(-c2cccc(Cl)c2)n(-c2ccc(Cl)cc2)n1,1
COc1cc(Cl)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,1
COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)[nH]c3ccccc23)cc1,1
O=C1c2ccccc2C2C3CC=CC3c3c(ccc4ccccc34)N12,0
CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)/C1=N/O,1
CC1=CC(c2ccc(Cl)cc2)NC(=S)N1,0
c1ccc(Oc2ccc(Nc3nc(-c4ccccc4)cs3)cc2)cc1,0
CS(=O)(=O)c1ccc(C2=C3c4ccccc4CCC3OC2=O)cc1,1
Cc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1,1
O=C(O)Cc1sc(C(c2ccccc2)c2ccccc2)nc1-c1ccc(Cl)cc1,0
COC(=O)[C@@]1(C)CC[C@]2(C(=O)NCc3ccc(OC)c(OC)c3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@H](O)[C@H](O[C@@H]6OC[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,0
COc1ccc2ccc(F)c(CC(=O)N/N=C/c3ccc(C(F)(F)F)cc3)c2n1,1
FC(F)(F)C1=NN=C(c2ccc(Cl)cc2)/C1=N/Nc1ccccc1Cl,0
CS(=O)(=O)c1ccc(-c2cc3c(cc2C=C2CCCCC2)OCO3)cc1,1
Cc1cccc(-n2nc(C(=O)OCc3c(-c4ccccc4)no[n+]3[O-])nc2CCl)c1,0
FC(F)(F)c1[nH]nc(-c2ccc(Cl)cc2)c1Cc1ccccc1,0
N#Cc1ccc(-c2nc(N3CCOCC3)sc2C(=O)c2cccs2)cc1,1
Cc1c(Cc2nc(-c3ccc(Br)cc3)cs2)c2cc(Br)ccc2n1C(=O)c1ccc(Br)cc1,0
Cc1cc[s+](-c2c(C3CCC(S(C)(=O)=O)CC3)occ(Cl)c2=O)c1,0
O=C(Nc1ccc(Br)cc1)c1cnc(O)c(Cl)c1,0
Cc1ccc2c(c1)S(=O)(=O)N(C)C(C(=O)Nc1ccccn1)=C2O,0
O=C(O)c1ccc(CCCc2c(CCNS(=O)(=O)c3c(F)cccc3C(F)(F)F)n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1,0
COc1ccc(-n2nnc(-c3ccc(Cl)o3)c2C)cc1,0
Cc1cc(=O)c(Oc2ccccc2C)c(-c2ccc(S(C)(=O)=O)cc2)o1,1
CS(=O)(=O)c1ccc(-c2cnc(Cc3ccccc3)[n+]([O-])c2-c2ccc(F)cc2)cc1,1
COc1ccc2c(c1)c(Cc1nc(-c3ccc(C(=O)O)cc3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,1
COc1ccc2c(c1)c(CC(=O)Nc1ccc(Cl)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,1
CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NCc3ccccc3)n2)cc1,1
O=C(O)c1ccc(S(=O)(=O)N(Cc2ccccc2)Cc2ccc(Oc3ccccc3)cc2)cc1,0
COc1cc(/C=C/C(=O)NCCc2c[nH]c3ccc(O)cc23)cc(OC)c1O,0
CC1=NN(c2cccc(Cl)c2)C(=O)/C1=C\c1cn(CCCOc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)c2ccccc12,1
CC(C)(C)c1ccc(S2=NS(=O)(=O)c3cc([N+](=O)[O-])ccc32)cc1,1
COc1ccc2c(c1)c(CC(=O)N[C@@H](CO)CC(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,1
N#Cc1ccc(-c2nc(N(c3ccccc3)c3ccccc3)sc2C(=O)c2cccs2)cc1,1
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)c(Cl)c2)cc1,1
COC1(c2cc(F)cc(OCc3cc(-c4ccccc4)n(-c4ccc(C)cc4)n3)c2)CCOCC1,1
COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc3c(c2)CNS3(=O)=O)cc1,0
CS(=O)(=O)c1ccc2[nH]cc(Cc3ccc(Br)cc3)c2c1,0
Cc1c(CCOCCCO[N+](=O)[O-])cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1cccc(F)c1,1
Cc1c(CCOCCO[N+](=O)[O-])cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1cccc(F)c1,1
CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)cnc2N2CCCC(CO)C2)cc1,1
CCc1ccc(S2=NS(=O)(=O)c3cc(S(C)(=O)=O)ccc32)cc1,0
COc1ccc(-n2nc(COc3cc(F)cc(C4(OC)CCOCC4)c3)cc2-c2ccccc2)cc1,1
Cc1nccn1CCCNC(=O)/C=C/c1cn(-c2ccc(S(C)(=O)=O)cc2)nc1-c1cccnc1,0
Cc1c2c(c(C)n1-c1cccc(Cl)c1)C(=O)N(CN1CCN(c3ccccc3F)CC1)C2=O,0
COc1ccc2c(c1)c(CC(=O)Nc1cc(C)c(C(=O)Nc3ccccc3)cc1OC)c(C)n2C(=O)c1ccc(Cl)cc1,1
NS(=O)(=O)c1ccc2[nH]cc(Cc3ccc(F)cc3)c2c1,0
OCc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0
Cc1c(CCC(=O)O)cccc1NC(=O)C(c1ccc(-c2cncc(Cl)c2)c(Cl)c1)C1CCCC1,1
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)C(=O)O/C2=C\c2cccc([N+](=O)[O-])c2)cc1,0
COCc1cn(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(Cl)cc2)n1,0
COc1ccc2c(c1)SCc1cnn(-c3ccc(S(N)(=O)=O)cc3)c1-2,0
CCCCCSCc1ccccc1C#CCCC1OC(O)=C(O)C1=O,0
CC(=O)N1N=C(c2ccc(S(C)(=O)=O)cc2)CC1c1ccc(Cl)cc1,0
CCN(CC)c1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,1
Cc1ccc(NS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,0
CC(C)CN(C)c1cc2c(cc1Cl)C=C(C(=O)O)[C@H](C(F)(F)F)O2,1
C=C(C)C(O)Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)c(O)c1C/C=C(\C)CCC=C(C)C)O2,0
C/C=C(/C)C(=O)Oc1c(OC)c(OC)cc2c1-c1c(cc(OC)c(OC)c1OC)C[C@](C)(O)[C@@H](C)C2,0
CN(c1ccc(Br)cc1)S(=O)(=O)c1ccc(N)cc1,0
O=C1N/C(=N/c2nsc3ccccc23)S/C1=C\c1ccccc1Cl,0
Cc1c(CCOCCCO[N+](=O)[O-])cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,1
Cc1ccc2c(c1)S(=O)(=O)N(C)C(O)=C2C(=O)Nc1ccccc1Cl,0
COc1cc(-c2cc(-c3cccc(-n4cnnn4)c3)no2)cc(OC)c1OC,1
CS(=O)(=O)Nc1cc2c(cc1Sc1ccncc1)C(=O)CC2,1
CCOC(=O)C(=O)c1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccccc2)c1C,0
Nc1ccc(NC(=O)c2ccc(C(F)(F)F)cc2)nc1,0
CCOP(=O)(OCC)C(NC(=O)c1cc(-c2ccc(C(F)(F)F)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1,1
Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,1
CCc1ccc(C(=O)/C=C/C2=Cc3ccccc3OC2)cc1,1
[2H]C([2H])([2H])c1cc(Cl)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2,1
COc1ccc(-c2csc(Nc3ccc(Oc4ccccc4)cc3)n2)cc1,0
Cc1ccccc1-c1nc(C(F)(F)F)cn1-c1ccc(S(N)(=O)=O)cc1,1
CCOP(=O)(OCC)C(NC(=O)c1cc(-c2cccc3ccccc23)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccc(Cl)cc1,1
CS(=O)(=O)c1ccc(/C=C(\c2ccccc2)c2ccc(F)cc2)cc1,1
O=C(c1cc2cc(Cl)ccc2n1Cc1ccc(Cl)cc1)N1CCN(Cc2ccc(Cl)cc2)CC1,1
CCC(=O)C(C)Cc1ccc(C(C)C(=O)O)c(F)c1,0
C=CCC1=C[C@@]2(OC)[C@H](C)[C@@H](c3cc(OC)c4c(c3)OCO4)[C@H](C1=O)[C@@H]2O,0
CS(=O)(=O)c1ccc(-c2cc(C(=O)CCCO)nn2-c2ccc(C(F)(F)F)cc2)cc1,0
CS(=O)(=O)c1ccc(C(=O)c2cccs2)cc1,0
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CC3(CC3)C2)cc1,1
CSc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2F)cc1,1
CC(=O)Oc1ccccc1C(=O)OCCCCO[N+](=O)[O-],0
CC1(C)OC(=O)C(Oc2cccnc2)=C1c1ccc(S(C)(=O)=O)cc1,1
Cc1ccc(S(=O)(=O)n2cc(C(=O)C(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)NCC(=O)O)c3ccccc32)cc1,1
CS(=O)(=O)c1ccc(-c2nn(CC(=O)Nc3ccccc3)c(C(F)(F)F)c2-c2ccc(F)cc2)cc1,1
COc1cc2c(c(O)c1O)-c1c(cc(OC)c(O)c1O)C[C@](C)(O)[C@@H](C)C2,0
O=[N+]([O-])c1ccc(-c2nnc(Cn3c(CN4CCCCC4)nc4ccccc43)o2)cc1,1
C[C@H](c1ccc(F)cc1)N(Cc1cccc(C(=O)O)c1)C(=O)c1cnc2ccccc2c1,0
COc1cc2c(c(O)c1OC)-c1c(cc(OC)c(OC)c1OC)CC(C)C(C)C2,0
