Smiles,Activity
CCCCCCOc1cc2c(cc1N(C)c1ncc(C(=O)O)cn1)C(C)(C)CCC2(C)C,0
CN(C)/C=N/c1c(I)cc(I)c(CCC(=O)[O-])c1I.[Na+],0
O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,0
Cn1cc2cc(/N=c3\[nH]c(=O)n(Cc4cn(CCOCCOCC(=O)Nc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)nn4)c(=O)n3Cc3cc(F)c(F)cc3F)c(Cl)cc2n1,1
Cn1c(=O)c2c(ncn2CC(=O)Nc2ccc(-c3ccccc3)nn2)n(C)c1=O,0
O=C(NCc1ccccn1)C(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H]1CC(F)(F)CN1C(=O)[C@@H]1C[C@@H]2[C@H](C1)C2(F)F,1
COc1ccc2[nH]c(=O)cc(C(=O)N[C@H]3CCC[C@H]3Nc3c(C(=O)N4CCOCC4)cc(C4CC4)cc3[N+](=O)[O-])c2c1,1
NC1=NCC2c3ccccc3Cc3ccccc3N12,0
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,1
C=CS(=O)(=O)N(c1ccc(-c2ccccc2)cc1)[C@@H](C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,1
O=C(O)c1cc2occc2[nH]1,0
CC(C)N1Cc2cc(S(C)(=O)=O)ccc2N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)S1(=O)=O,0
CC(C)C[C@H](NC(=O)OCC1CN(C(=O)OC(C)(C)C)C1)C(=O)N[C@H](C=O)C[C@H]1CCNC1=O,1
c1cncc(C2CCCCN2)c1,0
N#C[C@@H]1C[C@]23CN1C(=O)[C@H](c1ccccc1)N(C(=O)C1CN(c4ccc(F)cc4)N=N1)CCCCCc1ccc(c2c1)NC3=O,1
CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,1
Oc1ccc2ccccc2c1,0
CCn1cc2cc(Nc3nc(=O)n(Cc4ncn(C)n4)c(=O)n3Cc3cc(F)c(F)cc3F)c(Cl)cc2n1,1
CNC(=O)C(=O)[C@H](CCC(C)(F)F)NC(=O)C1C2CC(C)(C)C2CN1C(=O)[C@@H](NC(=O)OC)C(C)(C)C,1
COc1ccc(C(=C[C@@H]2COC[C@H]2S(=O)(=O)c2nnc(-c3ccc(Cl)cc3)o2)c2ccc(OC)cc2)cc1,1
O=C(CNC(=O)C1CCC(F)(F)CC1)N[C@H](Cc1ccccc1)C(=O)C(=O)NCc1ccccn1,1
CC(C)(C)CC1NC(C(=O)NC2CCC(O)CC2)C(c2cccc(Cl)c2F)C12C(=O)Nc1cc(Cl)ccc12,0
CC1(C)[C@H](C(=O)OCc2ccccc2)C2C(=O)C(Br)(Br)[C@H]2S1(=O)=O,1
CC(CC(C(N)=O)(c1ccccc1)c1ccccc1)N(C)C.O=S(=O)(O)O,0
O=C(CN1C2=NCCN2c2ccccc21)c1ccc(-c2ccccc2)cc1,0
O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],0
COc1cc(C[C@H]2NCCc3cc(O)c(O)cc32)cc(OC)c1OC.Cl,1
Cc1ccc(NC(=O)C2CCNCC2)cc1C(=O)N[C@H](C)c1cccc2ccccc12,1
N[C@H](C(=O)O)[C@@H]1CC(Cl)=NO1,0
Cn1cnc(Cn2c(=O)nc(Nc3cc4cn(CC(F)F)nc4cc3Cl)n(Cc3cc(F)c(F)cc3F)c2=O)n1,1
O=C(Nc1cc(Cl)cc(Cl)c1)[C@H]1CCCC[C@H]1C(=O)O,0
Cc1[nH]c2ncnc(NC(=O)c3ccncc3)c2c1C,0
CNC(=O)c1cccc(-c2cc3c(N[C@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)c1,1
CC(C)(C)c1ccc(-c2nnc([S+]([O-])Cc3cccnc3)o2)cc1,1
CS(=O)(=O)c1ccc(-c2nnc(/C=C/c3nnc(-c4ccc(C#N)cc4)o3)n2-c2ccccc2Cl)nc1,0
CCOC(=O)[C@@H]1O[C@H]1C(=O)N(CCC(N)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,1
